city,date,tmax,tmean,tmin,precip
北京,2019-01-01,0.3,-5.8,-10.8,0.0
北京,2019-01-02,-0.3,-5.4,-10.1,0.0
北京,2019-01-03,0.7,-4.7,-9.1,0.0
北京,2019-01-04,1.9,-3.2,-6.2,0.0
北京,2019-01-05,-0.3,-4.0,-8.1,0.0
北京,2019-01-06,0.9,-4.8,-9.8,0.0
北京,2019-01-07,1.9,-3.6,-7.8,0.0
北京,2019-01-08,1.0,-4.1,-7.0,0.0
北京,2019-01-09,1.8,-4.6,-10.1,0.0
北京,2019-01-10,4.6,-3.3,-9.0,0.0
北京,2019-01-11,4.7,-1.2,-4.5,0.0
北京,2019-01-12,5.0,-2.7,-7.2,0.0
北京,2019-01-13,5.7,-0.9,-5.2,0.0
北京,2019-01-14,4.9,-1.6,-8.4,0.0
北京,2019-01-15,-1.7,-5.8,-8.1,0.0
北京,2019-01-16,1.2,-4.8,-10.6,0.0
北京,2019-01-17,4.8,-1.6,-6.4,0.0
北京,2019-01-18,6.9,-1.1,-6.0,0.0
北京,2019-01-19,4.7,-0.0,-2.9,0.0
北京,2019-01-20,4.6,-0.8,-4.6,0.0
北京,2019-01-21,8.1,0.4,-5.4,0.0
北京,2019-01-22,10.3,2.5,-2.0,0.0
北京,2019-01-23,8.9,1.6,-3.0,0.0
北京,2019-01-24,5.4,-1.2,-4.8,0.0
北京,2019-01-25,4.8,-0.2,-3.2,0.0
北京,2019-01-26,3.5,-1.8,-5.9,0.0
北京,2019-01-27,8.5,0.5,-4.4,0.0
北京,2019-01-28,5.8,-0.4,-3.7,0.0
北京,2019-01-29,5.1,-1.0,-5.1,0.0
北京,2019-01-30,3.0,0.3,-3.3,0.0
北京,2019-01-31,1.5,-3.6,-7.5,0.0
北京,2019-02-01,4.4,-3.0,-7.6,0.0
北京,2019-02-02,1.9,-1.8,-5.5,0.1
北京,2019-02-03,8.6,1.3,-4.6,0.0
北京,2019-02-04,3.7,-2.3,-6.4,0.0
北京,2019-02-05,4.0,-1.6,-5.3,0.0
北京,2019-02-06,-0.6,-3.6,-6.0,0.0
北京,2019-02-07,-2.8,-7.0,-11.0,0.0
